id,data,ilosc,wartosc_netto,koszt
1001,2026-06-17,1,12.0,7.0
1008,2026-06-17,2,28.0,13.0
1001,2026-06-18,1,12.0,7.0
1004,2026-06-18,4,38.0,16.0
1005,2026-06-18,2,36.0,20.0
1008,2026-06-18,2,28.0,13.0
1003,2026-06-19,4,180.0,112.0
1008,2026-06-20,4,56.0,26.0
1002,2026-06-21,1,89.0,55.0
1004,2026-06-21,1,9.5,4.0
1005,2026-06-21,1,18.0,10.0
1009,2026-06-21,3,930.0,570.0
1003,2026-06-22,2,90.0,56.0
1004,2026-06-22,3,28.5,12.0
1010,2026-06-22,1,16.0,8.0
1003,2026-06-23,4,180.0,112.0
1008,2026-06-23,2,28.0,13.0
1002,2026-06-24,1,89.0,55.0
1009,2026-06-24,1,310.0,190.0
1001,2026-06-25,2,24.0,14.0
1004,2026-06-25,3,28.5,12.0
1010,2026-06-25,1,16.0,8.0
1003,2026-06-26,3,135.0,84.0
1003,2026-06-27,3,135.0,84.0
1004,2026-06-27,4,38.0,16.0
1004,2026-06-28,4,38.0,16.0
1005,2026-06-28,4,72.0,40.0
1004,2026-06-29,3,28.5,12.0
1005,2026-06-29,2,36.0,20.0
1010,2026-06-29,1,16.0,8.0
1004,2026-06-30,3,28.5,12.0
1001,2026-07-01,2,24.0,14.0
1008,2026-07-01,2,28.0,13.0
1005,2026-07-02,1,18.0,10.0
1008,2026-07-02,1,14.0,6.5
1002,2026-07-03,2,178.0,110.0
1004,2026-07-03,4,38.0,16.0
1004,2026-07-05,2,19.0,8.0
1008,2026-07-05,1,14.0,6.5
1001,2026-07-06,3,36.0,21.0
1004,2026-07-06,3,28.5,12.0
1009,2026-07-06,1,310.0,190.0
1004,2026-07-07,4,38.0,16.0
1005,2026-07-07,3,54.0,30.0
1001,2026-07-08,2,24.0,14.0
1003,2026-07-08,1,45.0,28.0
1008,2026-07-08,1,14.0,6.5
1004,2026-07-09,2,19.0,8.0
1005,2026-07-09,1,18.0,10.0
1008,2026-07-09,1,14.0,6.5
1010,2026-07-10,1,16.0,8.0
1002,2026-07-11,3,267.0,165.0
1003,2026-07-11,2,90.0,56.0
1005,2026-07-11,1,18.0,10.0
1008,2026-07-11,2,28.0,13.0
1002,2026-07-12,1,89.0,55.0
1004,2026-07-12,2,19.0,8.0
1004,2026-07-13,3,28.5,12.0
1003,2026-07-14,1,45.0,28.0
1008,2026-07-14,3,42.0,19.5
1010,2026-07-14,2,32.0,16.0
1003,2026-07-15,1,45.0,28.0
1002,2026-07-16,2,178.0,110.0
1004,2026-07-16,4,38.0,16.0
1001,2026-07-17,1,12.0,7.0
1004,2026-07-17,4,38.0,16.0
1008,2026-07-17,1,14.0,6.5
1003,2026-07-18,1,45.0,28.0
1004,2026-07-18,2,19.0,8.0
